Analytics TableName,Analytic Field Name,Analytic Field Description,Is Primary Key,Foreign Key Config,Field Type,Values if Dropdown Field,Bigquery Field Name,Biquery ViewName,Should consider for Analytics
WorkLoadDetails,activity_end_datetime_SCRUTINY,,,,DATE_TIME,,activity_end_datetime_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_callback_received_datetime_SCRUTINY,,,,DATE_TIME,,activity_callback_received_datetime_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,creation_datetime_SCRUTINY,,,,DATE_TIME,,creation_datetime_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,execution_completed_at_SCRUTINY,,,,DATE_TIME,,execution_completed_at_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,queue_time_SCRUTINY,,,,INTEGER,,queue_time_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,download_time_SCRUTINY,,,,INTEGER,,download_time_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,instructions_execution_time_SCRUTINY,,,,INTEGER,,instructions_execution_time_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,upload_time_SCRUTINY,,,,INTEGER,,upload_time_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_status_PRE_SCRUTINY,,,,DROP_DOWN,,activity_status_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,result_status_PRE_SCRUTINY,,,,DROP_DOWN,,result_status_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_reference_id_PRE_SCRUTINY,,,,PLAIN_TEXT,,activity_reference_id_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,failure_remarks_PRE_SCRUTINY,,,,PLAIN_TEXT,,failure_remarks_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,reason_for_failure_PRE_SCRUTINY,,,,PLAIN_TEXT,,reason_for_failure_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,metadata_PRE_SCRUTINY,,,,PLAIN_TEXT,,metadata_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_end_datetime_PRE_SCRUTINY,,,,DATE_TIME,,activity_end_datetime_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_callback_received_datetime_PRE_SCRUTINY,,,,DATE_TIME,,activity_callback_received_datetime_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,creation_datetime_PRE_SCRUTINY,,,,DATE_TIME,,creation_datetime_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,execution_completed_at_PRE_SCRUTINY,,,,DATE_TIME,,execution_completed_at_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,queue_time_PRE_SCRUTINY,,,,INTEGER,,queue_time_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,download_time_PRE_SCRUTINY,,,,INTEGER,,download_time_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,instructions_execution_time_PRE_SCRUTINY,,,,INTEGER,,instructions_execution_time_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,upload_time_PRE_SCRUTINY,,,,INTEGER,,upload_time_PRE_SCRUTINY,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_status_DRAWING_FILE_VALIDATION,,,,DROP_DOWN,,activity_status_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,result_status_DRAWING_FILE_VALIDATION,,,,DROP_DOWN,,result_status_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_reference_id_DRAWING_FILE_VALIDATION,,,,PLAIN_TEXT,,activity_reference_id_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,failure_remarks_DRAWING_FILE_VALIDATION,,,,PLAIN_TEXT,,failure_remarks_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,reason_for_failure_DRAWING_FILE_VALIDATION,,,,PLAIN_TEXT,,reason_for_failure_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,metadata_DRAWING_FILE_VALIDATION,,,,PLAIN_TEXT,,metadata_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_end_datetime_DRAWING_FILE_VALIDATION,,,,DATE_TIME,,activity_end_datetime_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,activity_callback_received_datetime_DRAWING_FILE_VALIDATION,,,,DATE_TIME,,activity_callback_received_datetime_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,creation_datetime_DRAWING_FILE_VALIDATION,,,,DATE_TIME,,creation_datetime_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,execution_completed_at_DRAWING_FILE_VALIDATION,,,,DATE_TIME,,execution_completed_at_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,queue_time_DRAWING_FILE_VALIDATION,,,,INTEGER,,queue_time_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,download_time_DRAWING_FILE_VALIDATION,,,,INTEGER,,download_time_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,instructions_execution_time_DRAWING_FILE_VALIDATION,,,,INTEGER,,instructions_execution_time_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,upload_time_DRAWING_FILE_VALIDATION,,,,INTEGER,,upload_time_DRAWING_FILE_VALIDATION,bn_prod_analytics.workload_details,No
WorkLoadDetails,ProjectType,,,,DROP_DOWN,,ProjectType,bn_prod_analytics.workload_details,No
WorkLoadDetails,ReferenceID,,,,PLAIN_TEXT,,ReferenceID,bn_prod_analytics.workload_details,No
WorkLoadDetails,Authority,,,,DROP_DOWN,,Authority,bn_prod_analytics.workload_details,No
WorkLoadDetails,NatureOfDevelopment,,,,DROP_DOWN,,NatureOfDevelopment,bn_prod_analytics.workload_details,No
WorkLoadDetails,Location,,,,DROP_DOWN,,Location,bn_prod_analytics.workload_details,No
WorkLoadDetails,SiteCategory,,,,DROP_DOWN,,SiteCategory,bn_prod_analytics.workload_details,No
WorkLoadDetails,PlotUse,,,,DROP_DOWN,,PlotUse,bn_prod_analytics.workload_details,No
WorkLoadDetails,PlotSubUse,,,,DROP_DOWN,,PlotSubUse,bn_prod_analytics.workload_details,No
WorkLoadDetails,SpecialBuildingType,,,,DROP_DOWN,,SpecialBuildingType,bn_prod_analytics.workload_details,No
WorkLoadDetails,PlotAreaAsPerDocument,Plot area measurement as documented in the application,,,FLOAT,,PlotAreaAsPerDocument,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,EffectedByRoadWidening,,,,PLAIN_TEXT,,EffectedByRoadWidening,bn_prod_analytics.workload_details,No
WorkLoadDetails,AvailRoadWideningConcession,,,,PLAIN_TEXT,,AvailRoadWideningConcession,bn_prod_analytics.workload_details,No
WorkLoadDetails,RoadWideningConcessionFor,,,,PLAIN_TEXT,,RoadWideningConcessionFor,bn_prod_analytics.workload_details,No
WorkLoadDetails,EffectedByNalaWidening,,,,PLAIN_TEXT,,EffectedByNalaWidening,bn_prod_analytics.workload_details,No
WorkLoadDetails,AvailNalaWideningConcession,,,,PLAIN_TEXT,,AvailNalaWideningConcession,bn_prod_analytics.workload_details,No
WorkLoadDetails,NalaWideningConcessionFor,,,,PLAIN_TEXT,,NalaWideningConcessionFor,bn_prod_analytics.workload_details,No
WorkLoadDetails,AvailTDR,,,,PLAIN_TEXT,,AvailTDR,bn_prod_analytics.workload_details,No
WorkLoadDetails,DoYouWantToAvailExtraMortgageForNalaConversion,,,,PLAIN_TEXT,,DoYouWantToAvailExtraMortgageForNalaConversion,bn_prod_analytics.workload_details,No
WorkLoadDetails,DoYouWantToAvailExtraMortgageForCityLevelImpactFee,,,,PLAIN_TEXT,,DoYouWantToAvailExtraMortgageForCityLevelImpactFee,bn_prod_analytics.workload_details,No
WorkLoadDetails,DoYouWantToAvailExtraMortgageForCapitalizationCharges,,,,PLAIN_TEXT,,DoYouWantToAvailExtraMortgageForCapitalizationCharges,bn_prod_analytics.workload_details,No
WorkLoadDetails,DoesSpecialRegulationsForBanjaraHillsAndJubileeHillsApply,,,,PLAIN_TEXT,,DoesSpecialRegulationsForBanjaraHillsAndJubileeHillsApply,bn_prod_analytics.workload_details,No
WorkLoadDetails,SpecialRegulationLocation,,,,PLAIN_TEXT,,SpecialRegulationLocation,bn_prod_analytics.workload_details,No
WorkLoadDetails,LTPLicenseNo,,,,PLAIN_TEXT,,LTPLicenseNo,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,LTPName,,,,PLAIN_TEXT,,LTPName,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,AvailTransferOfSetbacks,,,,PLAIN_TEXT,,AvailTransferOfSetbacks,bn_prod_analytics.workload_details,No
WorkLoadDetails,AvailConcessionType,,,,PLAIN_TEXT,,AvailConcessionType,bn_prod_analytics.workload_details,No
WorkLoadDetails,ConcessionFor,,,,PLAIN_TEXT,,ConcessionFor,bn_prod_analytics.workload_details,No
WorkLoadDetails,pre_scrutiny_display_status,,,,DROPDOWN,"Failed
Passed
In Progress
Unsuccessful
Invalid",pre_scrutiny_display_status,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,scrutiny_display_status,,,,DROPDOWN,"Failed
Passed
In Progress
Unsuccessful
Invalid",scrutiny_display_status,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,drawing_pdf_display_status,,,,DROPDOWN,"In Progress
Unsuccessful
Passed
Failed
Invalid",drawing_pdf_display_status,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,pre_scrutiny_time_in_sec,,,,INTEGER,,pre_scrutiny_time_in_sec,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,scrutiny_time_in_sec,,,,INTEGER,,scrutiny_time_in_sec,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,actual_scrutiny_time_in_sec,Actual time taken for scrutiny process in seconds,,,INTEGER,,actual_scrutiny_time_in_sec,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,drawing_pdf_time_in_sec,,,,INTEGER,,drawing_pdf_time_in_sec,bn_prod_analytics.workload_details,Yes
WorkLoadDetails,workload_rank,,,,INTEGER,,workload_rank,bn_prod_analytics.workload_details,Yes
,,,,,,,,,
ApplicationLineDepartmentDetails,id,Unique identifier for each line department verification record. Primary key for tracking individual departmental review assignments.,Yes,,INTEGER,,id,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,application_id,Foreign key linking to the specific application in SubmittedApplications table. Establishes which application requires line department verification.,,"FK(SubmittedApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,officer_id,Foreign key referencing the specific officer assigned to review this application from the line department. Links to Officers table for officer details.,,"FK(Officers, officer_id)",PLAIN_TEXT,,officer_id,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,officer_category,"Department classification of the assigned officer (REVENUE for land verification, IRRIGATION for water clearances, TITLE for ownership verification, FIRE for safety clearances). Determines the type of verification required.",,,DROPDOWN,"REVENUE
IRRIGATION
TITLE
FIRE",officer_category,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,remaining_time_left_in_sec,Time remaining (in seconds) for the officer to complete their departmental review within prescribed SLA timelines. Used for deadline monitoring and escalation alerts.,,,INTEGER,,remaining_time_left_in_sec,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,officer_assigned_datetime,Date and time when the specific officer was assigned this application for departmental review. Marks the start of line department processing timeline.,,,DATE_TIME,,officer_assigned_datetime,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,department_status,"Current status of the departmental verification process. ""Yet to Verify"" indicates pending review, ""Completed"" indicates finished verification by the assigned officer.",,,DROPDOWN,"Yet to Verify
Completed",department_status,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,officer_processed_datetime,Date and time when the officer completed their departmental review and submitted their verification decision. Used for calculating processing time and efficiency metrics.,,,DATE_TIME,,officer_processed_datetime,bn_prod_analytics.application_line_department_details,Yes
ApplicationLineDepartmentDetails,sla_time_in_sec,Total time allocated (in seconds) for this specific departmental verification as per Service Level Agreement. Used for SLA compliance monitoring and performance measurement.,,,INTEGER,,sla_time_in_sec,bn_prod_analytics.application_line_department_details,Yes
,,,,,,,,,
,,,,,,,,,
CitizenStageChangeLog,id,Unique identifier for the stage transition record,Yes,,INTEGER,,id,bn_prod_analytics.citizen_stage_change_log,Yes
CitizenStageChangeLog,application_id,Foreign key linking to the specific application in SubmittedApplications table. Establishes which application requires line department verification.,,"FK(SubmittedApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.citizen_stage_change_log,Yes
CitizenStageChangeLog,from_stage_id,The Unique ID of the previous status of the application as seen by the citizen — before the current update.,,,PLAIN_TEXT,,from_stage_id,bn_prod_analytics.citizen_stage_change_log,Yes
CitizenStageChangeLog,to_stage_id,The unique ID of the new status of the application as visible to the citizen — after the latest update.,,,PLAIN_TEXT,,to_stage_id,bn_prod_analytics.citizen_stage_change_log,Yes
CitizenStageChangeLog,from_stage_name,"The previous status of the application as seen by the citizen — e.g., “Submitted” or “Under Review” — before the current update.",,,DROPDOWN,"Draft
Payment Pending
Under Department Verification
Other Department Verification In Progress
Shortfall
Revised Payment Pending
Approved
Rejected
Draft In Progress
Scrutiny Failed
Scrutiny Key Generated
Scrutiny Successful
Under Mortgage & Other Info Verification
Proceedings Generated
Processing Fee Pending
Submit TDR Details
Awaiting TDR Confirmation
Initiating Resubmission
Mortgage & Other Info pending
Issue in Mortgage & Other Info Details
Shortfall Scrutiny Failed
Issue in TDR Details
Application On-Hold
Issue in Relinquishment Details
Relinquishment Details Pending
Under Relinquishment Details Verification",from_stage_name,bn_prod_analytics.citizen_stage_change_log,Yes
CitizenStageChangeLog,to_stage_name,"The new status of the application as visible to the citizen — e.g., “Approved” or “Rejected” — after the latest update.",,,DROPDOWN,"Draft
Payment Pending
Under Department Verification
Other Department Verification In Progress
Shortfall
Revised Payment Pending
Approved
Rejected
Draft In Progress
Scrutiny Failed
Scrutiny Key Generated
Scrutiny Successful
Under Mortgage & Other Info Verification
Proceedings Generated
Processing Fee Pending
Submit TDR Details
Awaiting TDR Confirmation
Initiating Resubmission
Mortgage & Other Info pending
Issue in Mortgage & Other Info Details
Shortfall Scrutiny Failed
Issue in TDR Details
Application On-Hold
Issue in Relinquishment Details
Relinquishment Details Pending
Under Relinquishment Details Verification",to_stage_name,bn_prod_analytics.citizen_stage_change_log,Yes
CitizenStageChangeLog,stage_changed_at,"Timestamp indicating when the stage transition occurred (i.e., when the status was updated).",,,DATE_TIME,,stage_changed_at,bn_prod_analytics.citizen_stage_change_log,Yes
,,,,,,,,,
OfficerStageChangeLog,id,Unique identifier for the stage transition record,Yes,,INTEGER,,id,bn_prod_analytics.officer_stage_change_log,Yes
OfficerStageChangeLog,application_id,Foreign key linking to the specific application in SubmittedApplications table. Establishes which application requires line department verification.,,"FK(SubmittedApplications, application_id)",PLAIN_TEXT,,application_id,bn_prod_analytics.officer_stage_change_log,Yes
OfficerStageChangeLog,from_stage_id,The Unique ID of the previous status of the application as seen by the officer — before the current update.,,,PLAIN_TEXT,,from_stage_id,bn_prod_analytics.officer_stage_change_log,Yes
OfficerStageChangeLog,to_stage_id,The unique ID of the new status of the application as visible to the officer — after the latest update.,,,PLAIN_TEXT,,to_stage_id,bn_prod_analytics.officer_stage_change_log,Yes
OfficerStageChangeLog,from_stage_name,"The previous status of the application as seen by the officer — e.g., “Under L1 verification” or “Proceedings Generated” — before the current update.",,,DROPDOWN,"Under L1 Verification
Under L1(STO)/L1(TVO) Verification
Under (STO) Verification
Under L2 Verification
Under (TVO) Verification
Under L3 Verification
On Hold For Line Dept Remarks
Rejected
Shortfall
Revised Fee Intimation Sent
Approved
Under L1(APO/JPO)/L1(TVO) Verification
Under L1(ACP)/L1 (TVO) Verification
Under L1(SI)/L1(TTVO) Verification
Under (TTVO) Verification
Under (SI) Verification
Under L1(APO/JPO) Verification
Under L1(ACP) Verification
Under L4 Verification
Proceedings Generated
Final Payment Pending
Rejection Verification by L2
Awaiting TDR Confirmation
Final Payment Paid
Mortgage & Other Info pending
Under Post Payment Details Verification by L2
Issue Proceedings by L2
Post Payment Details Shortfall
Under Post Payment Details Verification by L1
Under Post Payment Details Verification by L3
Verify TDR Details
TDR Accepted by Owner
Verify TDR Details by L2
Rejected with Refund
Rejected without Refund
TDR Shortfall
Application On-Hold
Reject with Refund
TDR shortfall
Relinquishment Details Shortfall
Yet to Submit Relinquishment Deed",from_stage_name,bn_prod_analytics.officer_stage_change_log,Yes
OfficerStageChangeLog,to_stage_name,"The new status of the application as visible to the officer — e.g., “Under L1 verification” or “Proceedings Generated” — after the latest update.",,,DROPDOWN,"Under L1 Verification
Under L1(STO)/L1(TVO) Verification
Under (STO) Verification
Under L2 Verification
Under (TVO) Verification
Under L3 Verification
On Hold For Line Dept Remarks
Rejected
Shortfall
Revised Fee Intimation Sent
Approved
Under L1(APO/JPO)/L1(TVO) Verification
Under L1(ACP)/L1 (TVO) Verification
Under L1(SI)/L1(TTVO) Verification
Under (TTVO) Verification
Under (SI) Verification
Under L1(APO/JPO) Verification
Under L1(ACP) Verification
Under L4 Verification
Proceedings Generated
Final Payment Pending
Rejection Verification by L2
Awaiting TDR Confirmation
Final Payment Paid
Mortgage & Other Info pending
Under Post Payment Details Verification by L2
Issue Proceedings by L2
Post Payment Details Shortfall
Under Post Payment Details Verification by L1
Under Post Payment Details Verification by L3
Verify TDR Details
TDR Accepted by Owner
Verify TDR Details by L2
Rejected with Refund
Rejected without Refund
TDR Shortfall
Application On-Hold
Reject with Refund
TDR shortfall
Relinquishment Details Shortfall
Yet to Submit Relinquishment Deed",to_stage_name,bn_prod_analytics.officer_stage_change_log,Yes
OfficerStageChangeLog,stage_changed_at,"Timestamp indicating when the stage transition occurred (i.e., when the status was updated).",,,DATE_TIME,,stage_changed_at,bn_prod_analytics.officer_stage_change_log,Yes
